country,year,co2,gdp,population,co2_per_capita,gdp_per_capita,co2_intensity_per_gdp
Cyprus,2022,7.198,34255009792.0,1331376.0,5.406,25729.02755645287,0.00021012984797572702
China,2022,11350.538,26966017179648.0,1425179562.0,7.964,18921.136605275005,0.0004209200759749781
Bahrain,2022,35.652,58769760256.0,1533459.0,23.249,38324.96353407558,0.0006066385134923223
Democratic Republic of Congo,2022,4.631,91314987008.0,102396974.0,0.045,891.7742726264547,5.071456670737175e-05
Bosnia and Herzegovina,2022,20.963,47069138944.0,3204805.0,6.541,14687.052392891299,0.00044536612460534925
Azerbaijan,2022,40.391,175370551296.0,10295307.0,3.923,17034.02834864468,0.00023031803060153392
Denmark,2022,28.432,299429003264.0,5902898.0,4.817,50725.76271248461,9.495406153067987e-05
Chile,2022,82.537,448338100224.0,19553032.0,4.221,22929.33905207131,0.0001840954403802903
Djibouti,2022,0.494,3395681536.0,1137100.0,0.435,2986.264652185384,0.000145478895698186
Austria,2022,61.489,398815395840.0,9064679.0,6.783,43996.63748048883,0.00015417910301704764
Botswana,2022,6.596,39293968384.0,2439895.0,2.703,16104.778436776993,0.00016786291309497277
Chad,2022,3.005,24118011904.0,18455319.0,0.163,1306.8325670230897,0.00012459567612625722
Congo,2022,8.111,23679010816.0,6035107.0,1.344,3923.5444899319928,0.0003425396467372432
Australia,2022,384.362,1344251494400.0,26200987.0,14.67,51305.376182965934,0.00028593012661783064
Czechia,2022,95.108,342966829056.0,10673216.0,8.911,32133.410310069616,0.0002773096169731058
Burundi,2022,0.707,9177076736.0,13321101.0,0.053,688.9127810081163,7.703978296558944e-05
Jordan,2022,20.255,99281829888.0,11256268.0,1.799,8820.137357070746,0.00020401517601810622
Gabon,2022,5.835,36035293184.0,2430752.0,2.4,14824.751016969234,0.00016192458793677287
United Kingdom,2022,313.835,2615230595072.0,68179315.0,4.603,38358.123648968896,0.0001200028022734874
Saint Lucia,2022,0.49,1749086208.0,178794.0,2.742,9782.689620457062,0.0002801462831041888
Rwanda,2022,1.541,28466253824.0,13651026.0,0.113,2085.28310062555,5.413427455286643e-05
Russia,2022,1802.19,3731440795648.0,145579890.0,12.379,25631.56762687484,0.0004829742983198083
Romania,2022,72.993,504741658624.0,19166776.0,3.808,26334.19718704909,0.0001446145741149832
Qatar,2022,106.152,381778100224.0,2892465.0,36.699,131990.5686755069,0.00027804633093862015
Portugal,2022,40.687,295712915456.0,10417075.0,3.906,28387.32710055366,0.00013758952644073448
Poland,2022,315.042,1231021277184.0,38385734.0,8.207,32069.76000990368,0.0002559192158893212
Philippines,2022,144.898,1014811000832.0,113964342.0,1.271,8904.636160949362,0.00014278323735277242
Peru,2022,54.793,341677637632.0,33475435.0,1.637,10206.816957927507,0.0001603646067671955
Paraguay,2022,8.107,65127632896.0,6760461.0,1.199,9633.608254821676,0.00012447865275474972
Panama,2022,11.356,94762123264.0,4400772.0,2.58,21533.068121684104,0.00011983690960958164
Palestine,2022,3.516,24076503040.0,5305274.0,0.663,4538.220465144685,0.00014603449654456132
Pakistan,2022,223.834,1318834929664.0,243700667.0,0.918,5411.700123348452,0.0001697210128162334
Oman,2022,76.606,177355014144.0,4730227.0,16.195,37493.9752667261,0.00043193591322882605
Norway,2022,40.808,482328444928.0,5456795.0,7.478,88390.42788449996,8.460624793980718e-05
North Macedonia,2022,7.127,28770254848.0,1840236.0,3.873,15634.002838766331,0.0002477211285632891
United States,2022,5078.871,19493170446336.0,341534041.0,14.871,57075.33688080012,0.000260546175081265
North Korea,2022,56.192,40488849408.0,26328842.0,2.134,1537.813528145294,0.0013878388944512038
Nigeria,2022,131.568,1134448607232.0,223150906.0,0.59,5083.7732526705495,0.00011597528452260133
Niger,2022,2.697,24776755200.0,25311977.0,0.107,978.8549981694437,0.00010885202595051673
Nicaragua,2022,5.296,32764782592.0,6730661.0,0.787,4867.988833786161,0.00016163696447944983
New Zealand,2022,31.61,200602763264.0,5131733.0,6.16,39090.647012227644,0.00015757509759922983
Sao Tome and Principe,2022,0.16,825238400.0,226313.0,0.706,3646.447177139625,0.00019388336752143383
Netherlands,2022,127.241,879609118720.0,17904422.0,7.107,49128.03768365156,0.00014465629936301713
Saudi Arabia,2022,723.331,1823886278656.0,32175352.0,22.481,56685.822074487325,0.00039658777439403404
Serbia,2022,43.517,116834639872.0,6791218.0,6.408,17203.782866637473,0.0003724665907959808
Uganda,2022,5.638,101995421696.0,47312718.0,0.119,2155.771767244486,5.527699093008512e-05
Turkmenistan,2022,64.154,97502945280.0,7230198.0,8.873,13485.51523485249,0.000657969867635982
Turkey,2022,437.305,2385996414976.0,87058470.0,5.023,27406.826871365876,0.0001832798227420634
Tunisia,2022,31.948,129457963008.0,12119336.0,2.636,10681.93529810544,0.0002467828108652207
Trinidad and Tobago,2022,36.306,37513383936.0,1495922.0,24.27,25077.098896867617,0.0009678145821752613
